Time*,C-2DPS-2 Instron Force (kN),C-2DPS-2 Extensometer (mm/mm)
301,6.136212971,0.001448549
301.5,6.135701563,0.001447878
302,6.13511863,0.001447163
302.5,6.134932663,0.001448146
303,6.13404217,0.001448102
303.5,6.133992102,0.001448236
304,6.133977797,0.001448102
304.5,6.133909847,0.001447386
305,6.133870508,0.00144837
305.5,6.133856203,0.001447967
306,6.133838322,0.001448012
306.5,6.133705999,0.001447565
307,6.133641626,0.001448549
307.5,6.133351948,0.001448102
308,6.132908489,0.00144761
308.5,6.132439997,0.001448951
309,6.131717588,0.001447967
309.5,6.131603147,0.001448727
310,6.131259825,0.001448057
310.5,6.131145384,0.001447654
311,6.131209757,0.001448459
311.5,6.131184723,0.001447923
312,6.131098892,0.001448146
312.5,6.131088163,0.001449085
313,6.13096657,0.001448146
313.5,6.130748417,0.001448236
314,6.130362179,0.001447565
314.5,6.129614736,0.001446984
315,6.129253532,0.001448191
315.5,6.128720667,0.001448593
316,6.128634836,0.001449309
316.5,6.128466751,0.001447699
317,6.128470327,0.001447744
317.5,6.128348734,0.00144828
318,6.128448869,0.001448727
318.5,6.128341581,0.00144837
319,6.128405954,0.001448102
319.5,6.128327276,0.00144837
320,6.127941038,0.001448414
320.5,6.127515461,0.001448817
321,6.12684312,0.001448012
321.5,6.126313831,0.00144828
322,6.126145746,0.001447878
322.5,6.125805999,0.001448236
323,6.125716592,0.001448817
323.5,6.125662948,0.001446984
324,6.125627185,0.001447878
324.5,6.125666525,0.001448414
325,6.12558427,0.001448146
325.5,6.125566389,0.001448057
326,6.125548507,0.001447565
326.5,6.125283863,0.001448236
327,6.124818946,0.001447789
327.5,6.124600793,0.001447654
328,6.124003555,0.001447878
328.5,6.123781826,0.001447744
329,6.123356248,0.001447833
329.5,6.123145248,0.001448459
330,6.123088027,0.001447789
330.5,6.122930671,0.001447163
331,6.122948553,0.001447878
331.5,6.122937824,0.001447029
332,6.122944976,0.001447654
332.5,6.122887756,0.001447163
333,6.122755433,0.00144837
333.5,6.122726823,0.001447654
334,6.122666027,0.001448549
334.5,6.12207594,0.001447654
335,6.121632482,0.001447297
335.5,6.121317769,0.001447118
336,6.115034247,0.001444346
336.5,6.149126914,0.001447967
337,6.22334543,0.001451812
337.5,6.267269288,0.001475371
338,6.30797807,0.00148221
338.5,6.34603683,0.001483775
339,6.379482191,0.001509166
339.5,6.406429452,0.001516587
340,6.428033753,0.001536346
340.5,6.446977302,0.001550428
341,6.462970421,0.001573763
341.5,6.4767534,0.001586682
342,6.487904238,0.001615024
342.5,6.497252631,0.00162781
343,6.506078887,0.001653872
343.5,6.51478355,0.00167524
344,6.522883822,0.00169254
344.5,6.529764583,0.001721776
345,6.534989526,0.001740775
345.5,6.541366031,0.001761294
346,6.547384909,0.001788206
346.5,6.553675583,0.001810513
347,6.559136561,0.001831121
347.5,6.56332796,0.001858301
348,6.568105869,0.001884273
348.5,6.573323659,0.001904703
349,6.578487806,0.00192701
349.5,6.583040409,0.00195638
350,6.5874893,0.001980699
350.5,6.59136241,0.001999653
351,6.596433574,0.002028576
351.5,6.601544076,0.002053878
352,6.605363542,0.0020748
352.5,6.608836109,0.002097196
353,6.612866575,0.002127773
353.5,6.617211754,0.002148069
354,6.622061188,0.002171493
354.5,6.626041587,0.002198315
355,6.629578527,0.002226032
355.5,6.632582601,0.002246193
356,6.637414154,0.002269796
356.5,6.6413874,0.002299345
357,6.64550012,0.002323575
357.5,6.649147925,0.002343691
358,6.651694235,0.002370781
358.5,6.65577477,0.002398587
359,6.659912524,0.002419598
359.5,6.663406549,0.002440832
360,6.66616386,0.002470917
360.5,6.668488441,0.002495594
361,6.67311257,0.002516604
361.5,6.676742493,0.002541325
362,6.68036884,0.0025715
362.5,6.6831941,0.002593941
363,6.68525046,0.002615041
